Marca temporal,Dirección de correo electrónico,Sede,Ubicación,Sub-Ubicación,Nombre del articulo,Foto actual del articulo,Tipo de elemento,Serie,estado,Disponible para su uso,Descripción,Cantidad,Valor unitario,Observaciones,Fecha,Nombre de quien realiza el proceso,Nombre de testigos,Observaciones,Aulas de clases,Articulo del aula de clases,Aulas de tecnología,Articulo del aula de tecnología,Aulas de informática,Articulo del aula de informática,Aulas de música,Articulo del aula de música,Aulas múltiples,Articulo del Aula múltiple,Bibliotecas,Articulo de la Biblioteca,Laboratorios de Física,Articulo del Laboratorio de Física,Laboratorios de Química,Articulo del Laboratorio de Química,Oficinas,Articulo de la Oficina,Codigo contable,Vida util [años],Valor total,Imagen,Edit Url,Etiqueta,Cards,Color,timestampTemp
1/3/2019 7:53:18,eidermejia@denzilescolar.edu.co,Mega,Aulas de clases,Aula - 002,Silla ACOLCHADA en TELA con estructura de TUBO metalico,https://drive.google.com/open?id=1qWS-PATqpu8YiM8_pn_7CKYbvvhbIaA1,Muebles enseres y equipo de oficina.,,Bueno,Si,,1,,,,,,,Aula - 001,Lámpara,,,,,,,,,,,,,,,,,,,12,https://drive.google.com/a/denzilescolar.edu.co/thumbnail?id=1qWS-PATqpu8YiM8_pn_7CKYbvvhbIaA1,https://docs.google.com/forms/d/e/1FAIpQLSdV9i_4guIS_jz6ErnKAoiTci_GpBbZj8tMxBg8JQRtJG0CBw/viewform?edit2=2_ABaOnueHjmv0lGJ19oOfx9kYvmzu1YVo59mstOMEQH-FNV9a7AzCjbmK0Ayg5zvgW6hZkuA,https://drive.google.com/a/denzilescolar.edu.co/file/d/1PL9nTv3pZEhJrdp7z7g6qRTCC7ZBICFe/view?usp=drivesdk,,#ffffff,1/3/2019
1/3/2019 7:54:16,inventarios@denzilescolar.edu.co,Mega,Aulas de clases,Aula - 001,Lámpara,https://drive.google.com/open?id=1AdRRvmkqeiAheGj7upi0XakVmp22NqVz,"Propiedad, planta y equipo.",,Regular,Si,No enciende,1,,,,,,,Aula - 002,Tablero,,,,,,,,,,,,,,,,,,,13,https://drive.google.com/a/denzilescolar.edu.co/thumbnail?id=1AdRRvmkqeiAheGj7upi0XakVmp22NqVz,https://docs.google.com/forms/d/e/1FAIpQLSdV9i_4guIS_jz6ErnKAoiTci_GpBbZj8tMxBg8JQRtJG0CBw/viewform?edit2=2_ABaOnue0cfHmbG-VuMQEVKV4W96nF1BSUM8ZNWb_y64qiVScJ_-8aF5a2dfDSaheg8owlu0,https://drive.google.com/a/denzilescolar.edu.co/file/d/1M3JO5H_7gARcld49hC2A2BJP6VpzO5mB/view?usp=drivesdk,,#ffffff,1/3/2019
1/3/2019 7:55:43,inventarios@denzilescolar.edu.co,Mega,Aulas de clases,Aula - 001,Lámpara,https://drive.google.com/open?id=10mLx2t9Xb3jOf7xHg9VIgbm2Wj-td4aL,"Propiedad, planta y equipo.",,Regular,Si,No enciende ,1,,,,,,,Aula - 001,Lámpara,,,,,,,,,,,,,,,,,,,14,https://drive.google.com/a/denzilescolar.edu.co/thumbnail?id=10mLx2t9Xb3jOf7xHg9VIgbm2Wj-td4aL,https://docs.google.com/forms/d/e/1FAIpQLSdV9i_4guIS_jz6ErnKAoiTci_GpBbZj8tMxBg8JQRtJG0CBw/viewform?edit2=2_ABaOnucEOBigX3U5L7Vea_wqaSx6FceJ5HDUjE3u4JrARrH46tn_Dtx9KyqsvpF-nAbtla4,https://drive.google.com/a/denzilescolar.edu.co/file/d/1FJeDu05sLW6m6wupZpOcRVH8kThMYDuL/view?usp=drivesdk,,#ffffff,1/3/2019
1/3/2019 7:56:51,inventarios@denzilescolar.edu.co,Mega,Aulas de clases,Aula - 001,Lámpara,https://drive.google.com/open?id=1rvvrWvFJO23gxv_bwyaH2Sk3k97Nod2R,"Propiedad, planta y equipo.",,Regular,Si,No enciende ,1,,,,,,,Aula - 001,Lámpara,,,,,,,,,,,,,,,,,,,15,https://drive.google.com/a/denzilescolar.edu.co/thumbnail?id=1rvvrWvFJO23gxv_bwyaH2Sk3k97Nod2R,https://docs.google.com/forms/d/e/1FAIpQLSdV9i_4guIS_jz6ErnKAoiTci_GpBbZj8tMxBg8JQRtJG0CBw/viewform?edit2=2_ABaOnufaJUTfiuqebH3L0z0UUenCHwDnpRgS6_9KAH7NI5t0cj8PqaYH3U7WSBpeSjgiYbc,https://drive.google.com/a/denzilescolar.edu.co/file/d/1-MVycPN2LROSuSrtfqTrGtBYz93vTV9f/view?usp=drivesdk,,#ffffff,1/3/2019
1/3/2019 7:58:44,inventarios@denzilescolar.edu.co,Mega,Aulas de clases,Aula - 001,Tablero,https://drive.google.com/open?id=15OIrv6k0qZKHVfdIzLXiFOG2UDBakC5D,Materiales para educación.,,Regular,Si,Está manchado,1,,,,,,,Aula - 002,Escritorio,,,,,,,,,,,,,,,,,,,16,https://drive.google.com/a/denzilescolar.edu.co/thumbnail?id=15OIrv6k0qZKHVfdIzLXiFOG2UDBakC5D,https://docs.google.com/forms/d/e/1FAIpQLSdV9i_4guIS_jz6ErnKAoiTci_GpBbZj8tMxBg8JQRtJG0CBw/viewform?edit2=2_ABaOnueg-qMfPWsLNZqcmRsc4hrkryn5Da2eS3B8xfY-cWGr47RJvJ1r2uVqXJpTIVelGI0,https://drive.google.com/a/denzilescolar.edu.co/file/d/1VYLgIRBz_fJue3wB7OGuqrgYm1OUUtAi/view?usp=drivesdk,,#ffffff,1/3/2019
1/3/2019 8:00:18,inventarios@denzilescolar.edu.co,Mega,Aulas de clases,Aula - 001,Escritorio,https://drive.google.com/open?id=1Q-3gE7D2ghEr1bYGnQfdfN2e1_Mn9eG2,Materiales para educación.,,Regular,Si,La parte superior está desprendida,1,,,,,,,Aula - 001,Lámpara,,,,,,,,,,,,,,,,,,,17,https://drive.google.com/a/denzilescolar.edu.co/thumbnail?id=1Q-3gE7D2ghEr1bYGnQfdfN2e1_Mn9eG2,https://docs.google.com/forms/d/e/1FAIpQLSdV9i_4guIS_jz6ErnKAoiTci_GpBbZj8tMxBg8JQRtJG0CBw/viewform?edit2=2_ABaOnuexQ3Vwu3GeMUhgCPSoACWvwSMWOPG6Cqncj3v0SxhWJjrSEIZ_SgzhiYOF39pTRSw,https://drive.google.com/a/denzilescolar.edu.co/file/d/1mS51I63qBUf8d5mhmA3fbRsXDGfnNsYw/view?usp=drivesdk,,#ffffff,1/3/2019
1/3/2019 8:01:42,inventarios@denzilescolar.edu.co,Mega,Aulas de clases,Aula - 001,Silla ACOLCHADA en TELA con estructura de TUBO metalico,https://drive.google.com/open?id=15uBNfoq_4zdUG0L-aLqmAD0vHfdqtY9n,Materiales para educación.,,Bueno,Si,,1,,,,,,,Aula - 002,Silla ACOLCHADA en TELA con estructura de TUBO metalico,,,,,,,,,,,,,,,,,,,18,https://drive.google.com/a/denzilescolar.edu.co/thumbnail?id=15uBNfoq_4zdUG0L-aLqmAD0vHfdqtY9n,https://docs.google.com/forms/d/e/1FAIpQLSdV9i_4guIS_jz6ErnKAoiTci_GpBbZj8tMxBg8JQRtJG0CBw/viewform?edit2=2_ABaOnueubVD2DJsQbqtS2T1eVSuXuh49asJ-RqKSaHkLHLpMf6rnAq0HXdA5BKaD6MyRjnE,https://drive.google.com/a/denzilescolar.edu.co/file/d/1U3gYGVPwvW85pjG1__vy5VaqVWzO1AS_/view?usp=drivesdk,,#ffffff,1/3/2019
1/3/2019 8:04:17,inventarios@denzilescolar.edu.co,Mega,Aulas de clases,Aula - 001,"Kit silla y mesa pequeña con superficie, espaldar plástico con estructura en tubo metalico",https://drive.google.com/open?id=1nYKaclhdiSu3IqWRvoDDwFUd1P5EpFIe,Materiales para educación.,,Bueno,Si,,1,,,,,,,Aula - 001,Lámpara,,,,,,,,,,,,,,,,,,,19,https://drive.google.com/a/denzilescolar.edu.co/thumbnail?id=1nYKaclhdiSu3IqWRvoDDwFUd1P5EpFIe,https://docs.google.com/forms/d/e/1FAIpQLSdV9i_4guIS_jz6ErnKAoiTci_GpBbZj8tMxBg8JQRtJG0CBw/viewform?edit2=2_ABaOnudqLcYA2QjZVAKlT8xxWj0lRXjm6hCCIRBjp750cW3tuX1T0vTiHxH0muvISgbNEmg,https://drive.google.com/a/denzilescolar.edu.co/file/d/1xQTpSAOQVVZaK_nOuRyZ0ztKxWcZoT4B/view?usp=drivesdk,,#ffffff,1/3/2019
1/3/2019 8:05:35,inventarios@denzilescolar.edu.co,Mega,Aulas de clases,Aula - 001,"Kit silla y mesa pequeña con superficie, espaldar plástico con estructura en tubo metalico",https://drive.google.com/open?id=1fLHD2qrHr2eq-cwyCHj5W5a9qfpXLX1u,Materiales para educación.,,Bueno,Si,Mesa manchada,1,,,,,,,Aula - 001,Lámpara,,,,,,,,,,,,,,,,,,,20,https://drive.google.com/a/denzilescolar.edu.co/thumbnail?id=1fLHD2qrHr2eq-cwyCHj5W5a9qfpXLX1u,https://docs.google.com/forms/d/e/1FAIpQLSdV9i_4guIS_jz6ErnKAoiTci_GpBbZj8tMxBg8JQRtJG0CBw/viewform?edit2=2_ABaOnudYJELKhPOB451mmMq02Xnv3_FOQ0HLlmq6M9eoMoOB-oV9go5Tvmkjzhxv_UQAMNo,https://drive.google.com/a/denzilescolar.edu.co/file/d/1ScCa8XenMiSBcVrIuB3qcL0J7dlcXWbC/view?usp=drivesdk,,#ffffff,1/3/2019
1/3/2019 8:06:32,inventarios@denzilescolar.edu.co,Mega,Aulas de clases,Aula - 001,"Kit silla y mesa pequeña con superficie, espaldar plástico con estructura en tubo metalico",https://drive.google.com/open?id=1Zpf2uV6fYWhUDpOVmfBQq7LQcwGVp3xP,Materiales para educación.,,Bueno,Si,,1,,,,,,,Aula - 001,Lámpara,,,,,,,,,,,,,,,,,,,21,https://drive.google.com/a/denzilescolar.edu.co/thumbnail?id=1Zpf2uV6fYWhUDpOVmfBQq7LQcwGVp3xP,https://docs.google.com/forms/d/e/1FAIpQLSdV9i_4guIS_jz6ErnKAoiTci_GpBbZj8tMxBg8JQRtJG0CBw/viewform?edit2=2_ABaOnuegemtLsbTuZkA9Yi4t7ejkb2fA-P_2YyonEppycDDlngwCGS-Yb24hnmv4BKpe080,https://drive.google.com/a/denzilescolar.edu.co/file/d/11EhUxLEkry2qGOWyPc122JjQVtitdlCV/view?usp=drivesdk,,#ffffff,1/3/2019
1/3/2019 8:07:22,eidermejia@denzilescolar.edu.co,Mega,Aulas de clases,Aula - 002,"Kit silla y mesa pequeña con superficie, espaldar plástico con estructura en tubo metalico",https://drive.google.com/open?id=1NG0DbeZHtrqAz9mQzf6x0ZdaqwvGnR1P,Materiales para prestación de servicios.,,Bueno,Si,,1,,,,,,,Aula - 001,Tablero,,,,,,,,,,,,,,,,,,,22,https://drive.google.com/a/denzilescolar.edu.co/thumbnail?id=1NG0DbeZHtrqAz9mQzf6x0ZdaqwvGnR1P,https://docs.google.com/forms/d/e/1FAIpQLSdV9i_4guIS_jz6ErnKAoiTci_GpBbZj8tMxBg8JQRtJG0CBw/viewform?edit2=2_ABaOnueCC3PxlBATGP-DYiDUYXf_S7gK8eIOIn_PTdrwgVIIkcNjimHhMl3sM59pa-Jgelk,https://drive.google.com/a/denzilescolar.edu.co/file/d/1bBlHqKBEGiuOaYHSycMxxk2b3fjRBNH7/view?usp=drivesdk,,#ffffff,1/3/2019
1/3/2019 8:07:30,inventarios@denzilescolar.edu.co,Mega,Aulas de clases,Aula - 001,"Kit silla y mesa pequeña con superficie, espaldar plástico con estructura en tubo metalico",https://drive.google.com/open?id=1lBGkViIdbCtKRzWzNWrt57mcdxLYYme4,Materiales para educación.,,Bueno,Si,,1,,,,,,,Aula - 002,"Kit silla y mesa pequeña con superficie, espaldar plástico con estructura en tubo metalico",,,,,,,,,,,,,,,,,,,23,https://drive.google.com/a/denzilescolar.edu.co/thumbnail?id=1lBGkViIdbCtKRzWzNWrt57mcdxLYYme4,https://docs.google.com/forms/d/e/1FAIpQLSdV9i_4guIS_jz6ErnKAoiTci_GpBbZj8tMxBg8JQRtJG0CBw/viewform?edit2=2_ABaOnuduttn8x9rdi9swwz9zhi_TnLmqAH6DXH7kMwfcszd1xR_TNvgE5Y-C6L60F0_yWn4,https://drive.google.com/a/denzilescolar.edu.co/file/d/1hm3ac-geBxWO4NRwFOpXW65juc9MA0G3/view?usp=drivesdk,,#ffffff,1/3/2019
1/3/2019 8:08:34,inventarios@denzilescolar.edu.co,Mega,Aulas de clases,Aula - 001,"Kit silla y mesa pequeña con superficie, espaldar plástico con estructura en tubo metalico",https://drive.google.com/open?id=1OF2rKKlRmnBzi4G8fKePysrVh77ClWr6,Materiales para educación.,,Bueno,Si,,1,,,,,,,Aula - 001,Escritorio,,,,,,,,,,,,,,,,,,,24,https://drive.google.com/a/denzilescolar.edu.co/thumbnail?id=1OF2rKKlRmnBzi4G8fKePysrVh77ClWr6,https://docs.google.com/forms/d/e/1FAIpQLSdV9i_4guIS_jz6ErnKAoiTci_GpBbZj8tMxBg8JQRtJG0CBw/viewform?edit2=2_ABaOnucwny2JQjJSX-wCBUNQbcqkVzzxKmflPbAULLP63siRKwdm_cqvHSBS9VQRM6JXw5k,https://drive.google.com/a/denzilescolar.edu.co/file/d/1MEdWD46Mff5bYXZ4-tASVWik55ah3HDH/view?usp=drivesdk,,#ffffff,1/3/2019
1/3/2019 8:08:50,eidermejia@denzilescolar.edu.co,Mega,Aulas de clases,Aula - 002,"Kit silla y mesa pequeña con superficie, espaldar plástico con estructura en tubo metalico",https://drive.google.com/open?id=1aye_zu4ZGtOqAoIxl40fle4rSfs-EM6k,Materiales para prestación de servicios.,,Bueno,Si,,1,,,,,,,Aula - 001,Silla ACOLCHADA en TELA con estructura de TUBO metalico,,,,,,,,,,,,,,,,,,,25,https://drive.google.com/a/denzilescolar.edu.co/thumbnail?id=1aye_zu4ZGtOqAoIxl40fle4rSfs-EM6k,https://docs.google.com/forms/d/e/1FAIpQLSdV9i_4guIS_jz6ErnKAoiTci_GpBbZj8tMxBg8JQRtJG0CBw/viewform?edit2=2_ABaOnuec_XsfoumLdFk3HQ4QZOWnoFUGg4qNohckmKD_WOdP1oNYiBoLN6k_QcPvvyHagfw,https://drive.google.com/a/denzilescolar.edu.co/file/d/1jEb4vKb63B1j8nlFNvgmKh7O9XyWlE9i/view?usp=drivesdk,,#ffffff,1/3/2019
1/3/2019 8:09:38,inventarios@denzilescolar.edu.co,Mega,Aulas de clases,Aula - 001,"Kit silla y mesa pequeña con superficie, espaldar plástico con estructura en tubo metalico",https://drive.google.com/open?id=14foSKi0IQyF0sfZgfwk2cr5WkzeYeAgN,Materiales para educación.,,Bueno,Si,,1,,,,,,,Aula - 001,"Kit silla y mesa pequeña con superficie, espaldar plástico con estructura en tubo metalico",,,,,,,,,,,,,,,,,,,26,https://drive.google.com/a/denzilescolar.edu.co/thumbnail?id=14foSKi0IQyF0sfZgfwk2cr5WkzeYeAgN,https://docs.google.com/forms/d/e/1FAIpQLSdV9i_4guIS_jz6ErnKAoiTci_GpBbZj8tMxBg8JQRtJG0CBw/viewform?edit2=2_ABaOnucXiZQyNFxQ55kPLSjGT29lKJNzMRCBBYLbBoS6UhJe1-xFHapN-YLKxZ7cHxV3Iac,https://drive.google.com/a/denzilescolar.edu.co/file/d/1PvuxLs9LFp32n68P4GDnlnHRdBjCufrS/view?usp=drivesdk,,#ffffff,1/3/2019
1/3/2019 8:10:40,inventarios@denzilescolar.edu.co,Mega,Aulas de clases,Aula - 001,"Kit silla y mesa pequeña con superficie, espaldar plástico con estructura en tubo metalico",https://drive.google.com/open?id=10NhmzVUI4ZnK62VYq2rZUD52rd7VIW-m,Materiales para educación.,,Bueno,Si,,1,,,,,,,Aula - 002,"Kit silla y mesa pequeña con superficie, espaldar plástico con estructura en tubo metalico",,,,,,,,,,,,,,,,,,,27,https://drive.google.com/a/denzilescolar.edu.co/thumbnail?id=10NhmzVUI4ZnK62VYq2rZUD52rd7VIW-m,https://docs.google.com/forms/d/e/1FAIpQLSdV9i_4guIS_jz6ErnKAoiTci_GpBbZj8tMxBg8JQRtJG0CBw/viewform?edit2=2_ABaOnuckijawFsF2yxP9wJMan1hbTSCg3XjEuaL3msoUMnsiASR4qGswv2TpR0i7-ZpmhEE,https://drive.google.com/a/denzilescolar.edu.co/file/d/1b46dwVsRX7wkKn6-_tFymetBRrbyINVi/view?usp=drivesdk,,#ffffff,1/3/2019
1/3/2019 8:11:46,inventarios@denzilescolar.edu.co,Mega,Aulas de clases,Aula - 001,"Kit silla y mesa pequeña con superficie, espaldar plástico con estructura en tubo metalico",https://drive.google.com/open?id=10Y5fxPEbiTxGfwnaV0qv_ZXAMn0espDo,Materiales para educación.,,Bueno,Si,,1,,,,,,,Aula - 001,"Kit silla y mesa pequeña con superficie, espaldar plástico con estructura en tubo metalico",,,,,,,,,,,,,,,,,,,28,https://drive.google.com/a/denzilescolar.edu.co/thumbnail?id=10Y5fxPEbiTxGfwnaV0qv_ZXAMn0espDo,https://docs.google.com/forms/d/e/1FAIpQLSdV9i_4guIS_jz6ErnKAoiTci_GpBbZj8tMxBg8JQRtJG0CBw/viewform?edit2=2_ABaOnucIhPdri8XV4vmQhS0k103Q7NarfyAEian7IFgML6vjcI7ff5VZHAH-r96883NWlo8,https://drive.google.com/a/denzilescolar.edu.co/file/d/1lj0BFsVBcuy_A_hF9iNswBdyjKVDLz8V/view?usp=drivesdk,,#ffffff,1/3/2019
